4, 0, 3, 1, 4, 1, 2, 2, 3, 3, 1, 3, 1, 0
17, 22, 30, 31, 32, 31, 27, 28, 34, 39, 33, 33, 16, 3
22, 33, 40, 40, 38, 41, 39, 41, 43, 44, 50, 30, 23, 3
31, 36, 42, 34, 48, 44, 39, 39, 38, 34, 44, 33, 25, 0
38, 42, 53, 49, 51, 50, 44, 50, 38, 42, 46, 35, 31, 1
35, 40, 54, 46, 43, 36, 42, 46, 41, 51, 46, 39, 31, 3
33, 31, 49, 47, 43, 35, 51, 45, 33, 40, 48, 31, 25, 2
33, 41, 53, 44, 51, 43, 51, 47, 50, 49, 43, 38, 26, 3
38, 32, 45, 30, 38, 36, 39, 40, 43, 46, 48, 45, 29, 2
32, 30, 47, 38, 47, 47, 47, 42, 43, 40, 41, 32, 29, 2
32, 36, 42, 40, 45, 48, 42, 45, 42, 46, 54, 40, 34, 3
34, 35, 44, 44, 49, 49, 50, 41, 37, 40, 47, 34, 38, 3
34, 42, 48, 51, 42, 35, 33, 30, 36, 45, 54, 39, 33, 2
22, 30, 35, 45, 46, 44, 50, 44, 51, 48, 47, 44, 24, 4
